Name,Age,Address
Bob,41.0,Rome
Laura,53.0,Sydney
Emma,,Tokyo
Emma,22.0,Moscow
John,59.0,Madrid
Emma,46.0,Rome
Laura,41.0,Sydney
Bob,37.0,Sydney
James,35.0,Paris
Mike,54.0,New York
Emma,,Berlin
Bob,27.0,New York
John,,Toronto
Emma,32.0,New York
James,39.0,Toronto
Mike,21.0,Paris
James,,Madrid
John,37.0,Berlin
Olivia,60.0,
Emma,35.0,Sydney
Olivia,56.0,Madrid
John,27.0,Tokyo
David,38.0,Paris
David,59.0,Berlin
James,49.0,
Laura,,Moscow
David,27.0,Berlin
Sophia,32.0,Moscow
Alice,58.0,Paris
Bob,50.0,
Emma,59.0,Rome
Laura,,Toronto
John,22.0,Berlin
John,48.0,London
Bob,58.0,
Olivia,52.0,Tokyo
Bob,40.0,Madrid
John,21.0,Paris
Olivia,34.0,
Mike,26.0,
Bob,33.0,Berlin
Alice,26.0,Berlin
Bob,43.0,Sydney
Mike,,Moscow
Sophia,,Tokyo
Alice,41.0,Toronto
Mike,48.0,Sydney
Bob,51.0,New York
James,51.0,New York
Sophia,28.0,Madrid
Bob,28.0,London
Laura,46.0,Tokyo
David,56.0,Sydney
Emma,46.0,New York
Bob,42.0,New York
David,35.0,New York
Eve,,Toronto
John,,Moscow
Olivia,51.0,Rome
James,47.0,Berlin
Sophia,48.0,London
John,21.0,New York
Emma,54.0,Madrid
Olivia,53.0,Rome
John,38.0,Sydney
James,53.0,Toronto
Alice,54.0,Rome
Alice,,Berlin
James,25.0,New York
Mike,,Tokyo
Sophia,,Rome
David,,Sydney
Laura,37.0,New York
Alice,23.0,London
James,,Sydney
James,56.0,Sydney
Olivia,52.0,Moscow
Emma,46.0,Tokyo
John,52.0,London
James,26.0,New York
Emma,34.0,Tokyo
David,39.0,Tokyo
Olivia,46.0,Rome
James,30.0,
James,,Berlin
James,57.0,London
David,33.0,New York
Bob,58.0,Sydney
Olivia,,Toronto
James,35.0,Berlin
Mike,53.0,New York
Alice,45.0,London
James,60.0,Berlin
John,48.0,London
Eve,47.0,Paris
Olivia,44.0,Sydney
Sophia,27.0,New York
Bob,,Madrid
Emma,42.0,London
Eve,27.0,Toronto
Bob,25.0,Moscow
Bob,25.0,New York
Sophia,40.0,New York
Eve,28.0,
John,33.0,Paris
David,51.0,
John,56.0,Sydney
John,25.0,New York
David,21.0,Toronto
Mike,27.0,
Olivia,23.0,London
David,34.0,Sydney
Sophia,50.0,London
Sophia,,Madrid
David,28.0,Madrid
David,49.0,New York
Mike,53.0,Tokyo
John,58.0,Moscow
Bob,49.0,Paris
Emma,36.0,Paris
Eve,44.0,London
Mike,39.0,
John,,Paris
David,,Madrid
Alice,49.0,Moscow
James,54.0,Berlin
Laura,,Rome
Sophia,46.0,Paris
Olivia,41.0,Paris
Alice,48.0,Berlin
Sophia,,Sydney
David,42.0,Moscow
Eve,,Berlin
John,39.0,
Bob,,
Alice,45.0,Berlin
John,27.0,Madrid
John,56.0,Rome
Alice,,Madrid
Laura,,Paris
Mike,49.0,Madrid
John,25.0,Tokyo
Laura,53.0,Toronto
Laura,42.0,Rome
Olivia,,Sydney
Emma,50.0,
Sophia,,Sydney
David,,Tokyo

